,Episode Name,Japanese Airdate,English Airdate,Char List,Opening,Ending,Arc,Rating
63,"""Zero Motivation: The Guy with Cloud Envy!""",24 December 2003,2 December 2006,"['Naruto Uzumaki', 'Shikamaru Nara', 'Temari', 'Kankurō', 'Ino Yamanaka', 'Chōji Akimichi', 'Shino Aburame', 'Tenten', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Genma Shiranui', 'Kotetsu Hagane', 'Izumo Kamizuki']","""Turning Sadness Into Kindness""","""Viva★Rock-Japanese Side""",Chūnin Exams,4.5
64,"""Dancing Leaf, Squirming Sand""",31 December 2003,9 December 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Rock Lee', 'Temari', 'Might Guy', 'Kankurō', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Genma Shiranui', 'Raidō Namiashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Kazekage', 'Daimyō', 'Gatekeepers', 'Third Hokage: Sarutobi']","""Turning Sadness Into Kindness""","""Alive""",Chūnin Exams,4.1
65,"""Bushy Brow's Jutsu: Sasuke Style!""",14 January 2004,16 December 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Kankurō', 'Shikamaru Nara', 'Ino Yamanaka', 'Kiba Inuzuka', 'Rock Lee', 'Might Guy', 'Genma Shiranui', 'Kabuto Yakushi', 'Baki']","""Turning Sadness Into Kindness""","""Alive""",Chūnin Exams,4.3
66,"""Late for the Show, but Ready to Go! The Ultimate Secret Technique is Born!""",14 January 2004,23 December 2006,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Kankurō', 'Baki', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Shino Aburame', 'Genma Shiranui', 'Rock Lee', 'Might Guy', 'Kabuto Yakushi', 'Kazekage', 'Third Hokage: Sarutobi']","""Turning Sadness Into Kindness""","""Alive""",Chūnin Exams,4.5
67,"""Zero Hour! The Konoha Crush Begins!""",28 January 2004,6 January 2007,"['Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Third Hokage: Sarutobi', 'Orochimaru', 'Kazekage', 'Baki', 'Temari', 'Kankurō', 'Iruka', 'Konohamaru', 'Might Guy', 'Genma Shiranui', 'Raidō Namiashi', 'Ibiki Morino', 'Moegi', 'Udon', 'Kidōmaru', 'Sakon', 'Tayuya', 'Jirōbō', 'Konoha shinobi', 'Suna shinobi']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.5
68,"""Village in Distress: A New A-Ranked Mission!""",4 February 2004,13 January 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Shikamaru Nara', 'Pakkun', 'Iruka', 'Konohamaru', 'Moegi', 'Udon', 'Third Hokage: Sarutobi', 'First Hokage', 'Second Hokage', 'Might Guy', 'Orochimaru', 'Kabuto Yakushi', 'Kidōmaru', 'Sakon', 'Jirōbō', 'Otomatsu', 'Konoha Anbu']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.4
69,"""A Shirker's Call to Action: A Layabout No More!""",11 February 2004,20 January 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Pakkun', 'Shikamaru Nara', 'Asuma Sarutobi', 'Temari', 'Kankurō', 'Orochimaru', 'Otomatsu', 'Oto shinobi']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.3
70,"""An Unrivaled Match: Hokage Battle Royale!""",18 February 2004,27 January 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Pakkun', 'Third Hokage: Sarutobi', 'First Hokage', 'Second Hokage', 'Enma', 'Orochimaru', 'Temari', 'Kankurō', 'Orochimaru (boy)', 'Iruka', 'Konohamaru', 'Moegi', 'Konoha Anbu']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.5
71,"""A Mistake from the Past: A Face Revealed!""",25 February 2004,27 January 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Pakkun', 'Third Hokage: Sarutobi', 'Second Hokage', 'Enma', 'Temari', 'Kankurō', 'Orochimaru', 'Orochimaru (juvenile)', 'Konoha Anbu']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.5
72,"""Forbidden Secret Technique: Dead Demon Consuming Seal!""",3 March 2004,3 February 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Pakkun', 'Third Hokage: Sarutobi', 'First Hokage', 'Second Hokage', 'Enma', 'Orochimaru', 'Jiraiya', 'Iruka', 'Konohamaru', 'Moegi', 'Udon', 'Temari', 'Kankurō', 'Shino Aburame', 'Ibiki Morino', ""Ibiki's subordinate""]","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.4
73,"""Astonishing Truth! Gaara's Identity Emerges!""",10 March 2004,10 February 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Pakkun', 'Shino Aburame', 'Kankurō', 'Gaara', 'Temari', 'Orochimaru', 'Third Hokage: Sarutobi', 'Enma', 'Iruka', 'Konohamaru', 'Moegi']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.3
74,"""Sasuke's Decision: Pushed to the Edge!""",17 March 2004,17 February 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Orochimaru', 'Yashamaru', 'Third Hokage: Sarutobi', 'Enma', 'Suna children']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.4
75,"""Assassin of the Moonlit Night""",24 March 2004,24 February 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Yashamaru', 'Pakkun', 'Might Guy', 'Orochimaru', 'Suna child', 'Suna villagers']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.5
76,"""Light vs. Dark: The Two Faces of Gaara""",31 March 2004,3 March 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Yashamaru', 'Third Hokage: Sarutobi', 'Orochimaru', 'Iruka', 'Gamakichi']","""Turning Sadness Into Kindness""","""Alive""",Konoha Crush,4.3
77,"""Naruto's Ninja Handbook""",7 April 2004,10 March 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Gaara', 'Temari', 'Pakkun', 'Gamabunta', 'Shukaku of the Sand', 'Gamakichi', 'Haku']","""GO!!!""","""Many Times Before""",Konoha Crush,4.7
78,"""Beyond the Limit of Darkness and Light""",14 April 2004,17 March 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Third Hokage: Sarutobi', 'Orochimaru', 'Enma', 'Might Guy', 'Temari', 'Shino Aburame', 'Iruka', 'Konohamaru', 'Moegi', 'Udon', 'Anko Mitarashi', 'Ayame', ""Shikamaru's father"", ""Chōji's father"", ""Ino's father"", 'Hiashi Hyūga', ""Shino's father"", ""Kiba's mother"", 'Gamabunta', 'Shukaku of the Sand', 'Gamakichi', 'Pakkun', 'Woman Anbu', 'Kuromaru', 'Suna shinobi']","""GO!!!""","""Many Times Before""",Konoha Crush,4.7
79,"""The Third Hokage, Forever…""",21 April 2004,24 March 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Gaara', 'Temari', 'Kankurō', 'Kakashi Hatake', 'Iruka', 'Might Guy', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Konohamaru', 'Orochimaru', 'Kabuto Yakushi', 'Kidōmaru', 'Sakon', 'Tayuya', 'Jirōbō', 'Jiraiya', 'Genma Shiranui', 'Homura Mitokado', 'Pakkun', 'Baki', 'Enma', 'Itachi Uchiha', 'Kisame Hoshigaki', 'Haku', 'Woman Anbu', 'Konoha Anbu', 'Iruka (boyhood)', 'Third Hokage: Sarutobi']","""GO!!!""","""Many Times Before""",Konoha Crush,4.7
80,"""Return of the Morning Mist""",28 April 2004,7 April 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Kakashi Hatake', 'Itachi Uchiha', 'Kisame Hoshigaki', 'Orochimaru', 'Kabuto Yakushi', 'Jiraiya', 'Homura Mitokado', 'Koharu Utatane', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Konohamaru', 'Moegi', 'Udon', 'Baki', 'Teuchi']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.5
81,"""Eye to Eye: Sharingan vs. Sharingan!""",5 May 2004,7 April 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Kakashi Hatake', 'Itachi Uchiha', 'Kisame Hoshigaki', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Jiraiya', 'Might Guy']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.5
82,"""Jiraiya: Naruto's Potential Disaster!""",12 May 2004,14 April 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Jiraiya', 'Itachi Uchiha', 'Kisame Hoshigaki', 'Might Guy', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Third Hokage: Sarutobi', 'Teuchi', ""Sakura's mother"", 'Jiraiya (boyhood)', 'Orochimaru (boyhood)', 'Tsunade (childhood)']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.5
83,"""Roar, Chidori! Brother vs. Brother!""",19 May 2004,21 April 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Jiraiya', 'Itachi Uchiha', 'Kisame Hoshigaki', ""Sasuke's father"", ""Sasuke's mother"", 'Old man', 'Old lady']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.6
84,"""Hate Among the Uchihas: The Last of the Clan!""",26 May 2004,28 April 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Jiraiya', 'Itachi Uchiha', 'Kisame Hoshigaki', 'Might Guy', 'Tsunade', 'Shizune']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.6
85,"""A New Training Begins: I Will Be Strong!""",2 June 2004,5 May 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Might Guy', 'Elder brother', 'Small-time yakuza', 'Gamblers']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.3
86,"""Keep on Training: Pop Goes the Water Balloon!""",9 June 2004,12 May 2007,"['Naruto Uzumaki', 'Jiraiya', 'Father', 'Child', 'Elder sister']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.3
87,"""Focal Point: The Mark of the Leaf""",16 June 2004,19 May 2007,"['Naruto Uzumaki', 'Sakura Haruno', 'Jiraiya', 'Tsunade', 'Shizune', 'Iruka', 'Orochimaru', 'Kabuto Yakushi', 'Shikamaru Nara', 'Chōji Akimichi', 'Kiba Inuzuka', 'Gamblers']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.4
88,"""An Impossible Choice: The Pain Within Tsunade's Heart""",23 June 2004,26 May 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Bookmaker', 'Gambler']","""GO!!!""","""Many Times Before""",Search for Tsunade,4.2
89,"""Unforgivable! A Total Lack of Respect!""",7 July 2004,9 June 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Hyakuraku old man', 'Guest']","""GO!!!""","""Meteor""",Search for Tsunade,4.5
90,"""Inheritance! The Necklace of Death!""",14 July 2004,16 June 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Third Hokage: Sarutobi', 'Dan', 'Nawaki', 'Konoha shinobi']","""GO!!!""","""Meteor""",Search for Tsunade,4.3
91,"""A Dubious Offer! Tsunade's Choice!""",21 July 2004,23 June 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Shopkeeper']","""GO!!!""","""Meteor""",Search for Tsunade,4.3
92,"""Breakdown! The Deal is Off!""",28 July 2004,30 June 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Dan', 'Nawaki']","""GO!!!""","""Meteor""",Search for Tsunade,4.5
93,"""Attack! Fury of the Rasengan!""",4 August 2004,7 July 2007,"['Naruto Uzumaki', 'Jiraiya', 'Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Gamakichi', 'Gamatatsu', 'Nawaki']","""GO!!!""","""Meteor""",Search for Tsunade,4.6
94,"""The Fifth Hokage! A Life on the Line!""",11 August 2004,7 July 2007,"['Naruto Uzumaki', 'Jiraiya', 'Fifth Hokage Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Nine-Tailed Fox', 'Gamakichi', 'Gamatatsu']","""GO!!!""","""Meteor""",Search for Tsunade,4.5
95,"""Deadlock! Sannin Showdown!""",11 August 2004,14 July 2007,"['Naruto Uzumaki', 'Jiraiya', 'Fifth Hokage Tsunade', 'Shizune', 'Orochimaru', 'Kabuto Yakushi', 'Gamabunta', 'Manda', 'Katsuyu', 'Gamakichi', 'Gamatatsu']","""GO!!!""","""Meteor""",Search for Tsunade,4.6
96,"""Kidnapped! Naruto's Hot Spring Adventure!""",18 August 2004,21 July 2007,"['Naruto Uzumaki', 'Jiraiya', 'Fifth Hokage Tsunade', 'Shizune', 'Jirōchō Wasabi', 'Senta', 'Bunzō', 'Statesman', 'Head clerk', 'Waitress']","""GO!!!""","""Meteor""",Search for Tsunade,3.7
97,"""Tsunade's Warning: Ninja No More!""",25 August 2004,28 July 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Might Guy', 'Rock Lee', 'Shikamaru Nara', 'Ino Yamanaka', 'Neji Hyūga', 'Tenten', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shino Aburame', 'Fifth Hokage: Tsunade', 'Shizune', 'Iruka', 'Konohamaru', 'Moegi', 'Udon', 'Koharu Utatane', 'Shikaku Nara', 'Genma Shiranui', 'Raidō Namiashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Teuchi']","""GO!!!""","""Meteor""",Search for Tsunade,4.2
98,"""The Will of Fire Still Burns!""",1 September 2004,4 August 2007,"['Naruto Uzumaki', 'Sakura Haruno', 'Rock Lee', 'Fifth Hokage Tsunade', 'Shizune', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Third Hokage: Sarutobi', 'Konohamaru', 'Moegi', 'Udon', 'Gal Naruto']","""GO!!!""","""Meteor""",Search for Tsunade,4.1
99,"""Sensei and Student: The Bond of the Shinobi""",8 September 2004,11 August 2007,"['Rock Lee', 'Might Guy', 'Kakashi Hatake', 'Fifth Hokage Tsunade', 'Shizune', 'Iruka', 'Konohamaru', 'Moegi', 'Udon', 'Neji Hyūga', 'Tenten']","""GO!!!""","""Meteor""",Search for Tsunade,4.4
100,"""Gotta See! Gotta Know! Kakashi-Sensei's True Face!""",15 September 2004,18 August 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Ino Yamanaka', 'Teuchi', 'Ayame', 'Moya-nin Aniki', 'Moya-nin subordinates']","""GO!!!""","""Meteor""",None,4.3
101,"""Mission: Help an Old Friend in the Land of Tea""",22 September 2004,25 August 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Idate Morino', 'Fifth Hokage: Tsunade', 'Aoi Rokushō', 'Kyūroku Wagarashi', 'Fukusuke Hikyakuya', 'Jirōchō Wasabi', 'Statesman', 'Wasabi family henchmen']","""GO!!!""","""Meteor""",Land of Tea Escort Mission,3.7
102,"""The Race is On! Trouble on the High Seas!""",29 September 2004,1 September 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Idate Morino', 'Ibiki Morino', 'Aoi Rokushō', 'Kyūroku Wagarashi', 'Fukusuke Hikyakuya', 'Oboro', 'Mubi', 'Kagari', 'Jirōchō Wasabi', 'Statesman', 'Wasabi family henchmen', 'Tea evil minister']","""GO!!!""","""Meteor""",Land of Tea Escort Mission,3.7
103,"""Run Idate Run! Nagi Island Awaits!""",13 October 2004,8 September 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Idate Morino', 'Aoi Rokushō', 'Fukusuke Hikyakuya', 'Oboro', 'Mubi', 'Kagari', 'Jirōchō Wasabi', 'Statesman', 'Ibiki Morino', 'Fifth Hokage: Tsunade']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Land of Tea Escort Mission,3.9
104,"""A Fierce Battle of Rolling Thunder!""",20 October 2004,15 September 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Idate Morino', 'Aoi Rokushō', 'Fukusuke Hikyakuya', 'Ibiki Morino', 'Jirōchō Wasabi', 'Statesman', 'Wasabi family henchman', 'Genin']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Land of Tea Escort Mission,3.9
105,"""The Last Leg: A Final Act of Desperation""",27 October 2004,22 September 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Idate Morino', 'Ibiki Morino', 'Aoi Rokushō', 'Kyūroku Wagarashi', 'Fukusuke Hikyakuya', 'Tea evil minister', 'Jirōchō Wasabi', 'Statesman', 'Wasabi family henchman', 'Tea young samurai', 'Tea Daimyō']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Land of Tea Escort Mission,4.0
106,"""The Battle Begins: Naruto vs. Sasuke""",3 November 2004,6 October 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Asuma Sarutobi', 'Fifth Hokage: Tsunade', 'Rock Lee', 'Orochimaru', 'Itachi Uchiha']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.5
107,"""Bitter Rivals and Broken Bonds""",10 November 2004,13 October 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Jiraiya', 'Orochimaru', 'Kabuto Yakushi', 'Kidōmaru', 'Sakon', 'Tayuya', 'Jirōbō']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.3
108,"""Oto's Invitation""",17 November 2004,20 October 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kidōmaru', 'Sakon', 'Tayuya', 'Jirōbō', 'Teuchi']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.2
109,"""Formation! The Sasuke Recovery Team""",24 November 2004,27 October 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Chōji Akimichi', 'Neji Hyūga', 'Kiba Inuzuka', 'Rock Lee', 'Shikaku Nara', ""Shikamaru's mother"", 'Fifth Hokage: Tsunade', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Kidōmaru', 'Sakon', 'Tayuya', 'Jirōbō']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.5
110,"""Sound vs. Leaf""",24 November 2004,27 October 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Shikamaru Nara', 'Chōji Akimichi', 'Neji Hyūga', 'Kiba Inuzuka', 'Rock Lee', 'Fifth Hokage: Tsunade', 'Shizune', 'Kidōmaru', 'Sakon', 'Tayuya', 'Jirōbō', 'Genma Shiranui', 'Raidō Namiashi', 'Iwashi Tatami']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.4
111,"""Squad Mutiny: Everything Falls Apart!""",1 December 2004,3 November 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Neji Hyūga', 'Kiba Inuzuka', 'Kidōmaru', 'Sakon', 'Jirōbō']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.2
112,"""Full Throttle Power! Chōji, Ablaze!""",8 December 2004,3 November 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Chōji Akimichi', 'Neji Hyūga', 'Kiba Inuzuka', 'Jirōbō', 'Asuma Sarutobi', 'Ino Yamanaka']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.3
113,"""Good-bye Old Friend…! I'll Always Believe in You!""",15 December 2004,10 November 2007,"['Naruto Uzumaki', 'Chōji Akimichi', 'Jirōbō', 'Shikamaru Nara', 'Kiba Inuzuka', 'Kidōmaru', 'Sakon', 'Tayuya', ""Chōji's father"", 'Children']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.6
114,"""Your Opponent is Me!""",22 December 2004,10 November 2007,"['Naruto Uzumaki', 'Neji Hyūga', 'Kidōmaru', 'Shikamaru Nara', 'Kiba Inuzuka', 'Sakon', 'Tayuya', 'Jirōbō']","""Rhapsody of Youth""","""Mountain a Go Go Two""",Sasuke Recovery Mission,4.2
115,"""360 Degrees of Vision: The Byakugan's Blind Spot""",5 January 2005,24 November 2007,"['Naruto Uzumaki', 'Neji Hyūga', 'Kidōmaru', 'Sakon', 'Tayuya']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.3
116,"""Losing is Not an Option!""",5 January 2005,24 November 2007,"['Naruto Uzumaki', 'Neji Hyūga', 'Kidōmaru', 'Sakon', 'Tayuya']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.5
117,"""The Vessel Arrives Too Late""",12 January 2005,1 December 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Kiba Inuzuka', 'Kimimaro', 'Sakon', 'Tayuya', 'Orochimaru', 'Kabuto Yakushi', 'Man who became ""vessel""', 'Kimimaro (boyhood)']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.3
118,"""Miscalculation: A New Enemy Appears!""",19 January 2005,1 December 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Kiba Inuzuka', 'Kimimaro', 'Sakon', 'Tayuya', 'Orochimaru', 'Kabuto Yakushi']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.2
119,"""Roar and Howl! The Ultimate Tag-Team!""",2 February 2005,8 December 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Kiba Inuzuka', 'Kimimaro', 'Sakon', 'Tayuya', 'Orochimaru', 'Kabuto Yakushi']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.2
120,"""To Each His Own Battle""",9 February 2005,8 December 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Kiba Inuzuka', 'Kimimaro', 'Sakon', 'Tayuya', ""Kiba's mother"", ""Kiba's sister""]","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.2
121,"""Fakeout: Shikamaru's Comeback!""",16 February 2005,15 December 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Kiba Inuzuka', 'Kimimaro', 'Tayuya']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.4
122,"""The Leaf's Handsome Devil!""",23 February 2005,15 December 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Shikamaru Nara', 'Kiba Inuzuka', 'Rock Lee', 'Might Guy', 'Kimimaro', 'Tayuya', 'Fifth Hokage: Tsunade', 'Genma Shiranui', 'Raidō Namiashi', 'Male nurses']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.4
123,"""The Beast Within""",2 March 2005,22 December 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Shikamaru Nara', 'Kiba Inuzuka', 'Rock Lee', 'Might Guy', 'Kimimaro', 'Sakon/Ukon', 'Tayuya', 'Fifth Hokage: Tsunade', 'Neji Hyūga', 'Gaara', 'Temari', 'Kankurō']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.7
124,"""The Sand Shinobi: Allies of the Leaf""",9 March 2005,22 December 2007,"['Naruto Uzumaki', 'Shikamaru Nara', 'Kiba Inuzuka', 'Rock Lee', 'Gaara', 'Temari', 'Kankurō', 'Kimimaro', 'Sakon/Ukon', 'Tayuya', 'Summoning weasel']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.6
125,"""Showdown: Gaara vs. Kimimaro""",16 March 2005,29 December 2007,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Rock Lee', 'Gaara', 'Kimimaro', 'Kimimaro (boyhood)', 'Orochimaru', 'Neji Hyūga', 'Zabuza Momochi', 'Haku', 'Kaguya clan: patriarch', 'Kaguya clan']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.5
126,"""Vengeful Strike! The Bracken Dance!""",30 March 2005,29 December 2007,"['Naruto Uzumaki', 'Rock Lee', 'Gaara', 'Kimimaro', 'Orochimaru', 'Kabuto Yakushi', 'Kazekage', 'Sakon', 'Kidōmaru', 'Tayuya', 'Jirōbō']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.5
127,"""A Cry on Deaf Ears""",30 March 2005,5 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Itachi Uchiha']","""Rhapsody of Youth""","""The First Time I Spoke With You""",Sasuke Recovery Mission,4.4
128,"""Brothers: Distance Among the Uchiha""",6 April 2005,5 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Itachi Uchiha', 'Fugaku Uchiha', 'Mikoto Uchiha', 'Shikamaru Nara', 'Chōji Akimichi', 'Third Hokage: Sarutobi', 'Inabi Uchiha', 'Yashiro Uchiha', 'Konoha student']","""No Boy, No Cry""","""Lost Words""",Sasuke Recovery Mission,4.4
129,"""Father and Son, the Broken Crest""",13 April 2005,12 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Fugaku Uchiha', 'Mikoto Uchiha']","""No Boy, No Cry""","""Lost Words""",Sasuke Recovery Mission,4.3
130,"""The Secrets of the Mangekyō Sharingan""",20 April 2005,12 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Itachi Uchiha', 'Mikoto Uchiha', 'Shikamaru Nara', 'Chōji Akimichi', 'Uruchi Uchiha', 'Kōta']","""No Boy, No Cry""","""Lost Words""",Sasuke Recovery Mission,4.3
131,"""For a Friend…""",27 April 2005,19 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Kakashi Hatake', 'Pakkun', 'Fifth Hokage: Tsunade', 'Sakura Haruno']","""No Boy, No Cry""","""Lost Words""",Sasuke Recovery Mission,4.6
132,"""A Plea from a Friend""",4 May 2005,19 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Kakashi Hatake', 'Pakkun', 'Iruka Umino', 'Nine-Tailed Fox']","""No Boy, No Cry""","""Lost Words""",Sasuke Recovery Mission,4.7
133,"""The End of Tears""",11 May 2005,26 January 2008,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Kakashi Hatake', 'Pakkun', 'Itachi Uchiha']","""No Boy, No Cry""","""Lost Words""",Sasuke Recovery Mission,4.6
